service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7.727,1,1,1,1,1,0,0,20260824,20260911
7.734,1,1,1,1,1,0,0,20260914,20261127
Q.727,1,1,1,1,1,0,0,20260824,20260911
Q.734,1,1,1,1,1,0,0,20260914,20261125
W.727,1,1,1,1,1,0,0,20260824,20260911
W.734,1,1,1,1,1,0,0,20260914,20261125
8.727,0,0,0,0,0,1,0,20260829,20260912
8.734,0,0,0,0,0,1,0,20260919,20261128
S.727,0,0,0,0,0,1,0,20260829,20260912
S.734,0,0,0,0,0,1,0,20260919,20261128
U.727,0,0,0,0,0,0,1,20260823,20260906
U.734,0,0,0,0,0,0,1,20260913,20261122
k.727,0,1,1,1,1,0,0,20260826,20260911
k.734,1,1,1,1,1,0,0,20260914,20261120
D.727,1,1,1,1,1,0,0,20260824,20260911
D.734,1,1,1,1,1,0,0,20260914,20261127
E.727,0,0,0,0,0,1,0,20260829,20260912
E.734,0,0,0,0,0,1,0,20260919,20261128
F.727,0,0,0,0,0,0,1,20260823,20260906
F.734,0,0,0,0,0,0,1,20260913,20261122
C.727,0,0,0,0,0,0,1,20260823,20260906
C.734,0,0,0,0,0,0,1,20260913,20261122
A.727,1,1,1,1,1,0,0,20260824,20260911
A.734,1,1,1,1,1,0,0,20260914,20261125
B.727,0,0,0,0,0,1,0,20260829,20260912
B.734,0,0,0,0,0,1,0,20260919,20261128
X.727,0,0,0,0,0,0,0,20260907,20260907
X.734,0,0,0,0,0,0,0,20261126,20261126
e.727,0,0,0,0,0,0,0,20260907,20260907
f.734,0,0,0,0,0,0,0,20261126,20261126
g.734,0,0,0,0,0,0,0,20261127,20261127
