route_id,direction_id,direction_name
1,0,To Hayhurst and Maplewood via Vermont
1,1,To Portland City Center
2,0,To Gresham
2,1,To Portland City Center
4,0,To St Johns
4,1,To Portland City Center or Foster & 94th
6,0,To Jantzen Beach
6,1,To Portland City Center
8,0,To Marquam Hill
8,1,To Dekum & 27th
9,0,To Powell & 92nd or Gresham Central Transit Center
9,1,To Portland City Center
10,0,To Mt Scott & 112th
10,1,To Portland City Center
11,0,To Vancouver Way & Middlefield
11,1,To St Johns
12,0,To Tigard Transit Center
12,1,To Parkrose/Sumner Transit Center
14,0,To Foster & 94th
14,1,To Portland City Center
15,0,"To NW 23rd, Yeon & 44th, or St Johns/Sauvie Island"
15,1,To Portland City Center or Gateway Transit Center
16,0,To Yeon & 44th
16,1,To Portland
17,0,To Holgate & 122nd
17,1,To Portland City Center or 33rd & Sunderland
18,0,To Hillside and Providence Park
19,0,To Beaverton Transit Center
19,1,To Gateway Transit Center
20,0,To W Burnside & 23rd or Sunset Transit Center
20,1,To Gresham Central Transit Center
21,0,To Parkrose/Sumner Transit Center
21,1,To Gresham Central Transit Center
22,0,To Parkrose
22,1,To Gateway Transit Center
23,0,To Sandy & 148th
23,1,To Gateway Transit Center
24,0,To SW Columbia & 18th
24,1,To Gateway Transit Center
25,0,To Mt Hood Community College
25,1,To Gateway Transit Center
26,0,To NW Thurman & Gordon
26,1,To SW 18th & Salmon
29,0,To Clackamas Town Center
29,1,To Milwaukie
30,0,To Estacada
30,1,To Clackamas Town Center
31,0,To Clackamas Community College
31,1,To Clackamas Town Center
33,0,To Oregon City TC and Clackamas Community College
33,1,To Milwaukie or Clackamas Town Center
34,0,To Clackamas Heights
34,1,To SE Tacoma Park & Ride
35,0,To Oregon City Transit Center
35,1,To University of Portland
40,0,"To City Ctr, Tacoma P&R, or Clackamas Town Center"
40,1,To Swan Island
43,0,To Tigard Transit Center
43,1,To Marquam Hill
44,0,To PCC Sylvania
44,1,To St Johns
45,0,To Hillsdale and Washington Square Transit Center
45,1,To Hillsdale and Barbur Transit Center
46,0,To Hillsboro Brookwood Library
46,1,To Hillsboro Transit Center
47,0,To Hillsboro Transit Center
47,1,To Willow Creek Transit Center
48,0,To Hillsboro Transit Center
48,1,To Sunset Transit Center
51,0,To Bertha & Barbur or Council Crest
51,1,To SW Columbia & 18th
52,0,To PCC Rock Creek
52,1,To Beaverton Transit Center
53,0,Evening Loop
53,1,Morning Loop
54,0,To Beaverton Transit Center
54,1,To Portland City Center
55,0,To Raleigh Hills
55,1,To Portland City Center
56,0,To Washington Square Transit Center
56,1,To Marquam Hill
57,0,To Forest Grove
57,1,To Beaverton Transit Center
59,0,To Willow Creek/SW 185th Ave Transit Center
59,1,To Sunset Transit Center
62,0,To Washington Square Transit Center
62,1,To Sunset Transit Center
63,0,To Rose Garden/Japanese Garden
63,1,To Portland City Center
67,0,To PCC Rock Creek
67,1,To Merlo Rd/158th Ave
70,0,To Rose Quarter Transit Center
70,1,To Milwaukie
71,0,To Clackamas Town Center
71,1,To Parkrose Transit Center
72,0,To Killingsworth & Cully or Swan Island
72,1,To Clackamas Town Center
73,0,To Foster & 94th
73,1,To Parkrose Transit Center
74,0,To 158th & Airport Way
74,1,To Powell & 182nd
75,0,To St Johns
75,1,To Milwaukie
76,0,To Meridian Park Hospital
76,1,To Sunset Transit Center
77,0,To Troutdale Frontage Rd or TRIP
77,1,To Montgomery Park
78,0,To Lake Oswego Transit Center
78,1,To Beaverton Transit Center
79,0,To Oregon City Transit Center
79,1,To Clackamas Town Center
81,0,To Troutdale Reynolds Industrial Park
81,1,To Gresham Central Transit Center
84,0,Evening Loop
84,1,Morning Loop
86,0,To Relay Resources
86,1,To Foster & 94th
87,0,To Powell & 182nd
87,1,To Gateway Transit Center
88,0,To Willow Creek/SW 185th Ave Transit Center
88,1,To Beaverton Transit Center
90,0,To Portland International Airport
90,1,To Hillsboro
94,0,To Sherwood
94,1,To Tigard
96,0,To Barbur Transit Center and Commerce Circle
96,1,To Barbur Transit Center and Portland City Center
97,0,To SW Langer Dr/Sherwood Plaza
97,1,To Barbur Transit Center
100,0,To Gresham
100,1,To Hillsboro
155,0,To 172nd
155,1,To Clackamas Town Center
156,0,To 147th & Oregon Trail
156,1,To Clackamas Town Center
190,0,To Expo Center
190,1,To Portland City Center
193,0,To NW 23rd and Marshall
193,1,To South Waterfront
194,0,Clockwise
195,0,Counter-clockwise
200,0,To Clackamas Town Center
200,1,To Gateway Transit Center
203,0,To Wilsonville
203,1,To Beaverton
208,0,To South Waterfront
208,1,To Marquam Hill
287,0,To Cleveland Ave Park & Ride
287,1,To Goose Hollow/SW Jefferson
288,0,To Willow Creek TC or Hatfield Government Center
288,1,To Merlo Rd MAX Station or Rose Quarter TC
290,0,To Portland City Center
290,1,To Milwaukie
291,0,To Milwaukie
291,1,To Portland City Center
292,0,To Portland International Airport
292,1,To Goose Hollow/SW Jefferson
293,0,To Expo Center
293,1,To Portland City Center
